1,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Nike Air Force 1'07,9,2,0,130,https://i.ibb.co/6rqTHDc/4.jpg
10,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 10,9,2,0,130,https://i.ibb.co/FzgjFHC/45.jpg
11,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 11,9,2,0,130,https://i.ibb.co/RPCTv95/44.jpg
12,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 12,9,2,0,130,https://i.ibb.co/3mVXZbm/43.jpg
13,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 13,9,2,0,130,https://i.ibb.co/6yhDtXW/42.jpg
14,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 14,9,2,0,130,https://i.ibb.co/ngm8s3f/41.jpg
15,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 15,9,2,0,130,https://i.ibb.co/qs4GYNp/40.jpg
16,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 16,9,2,0,130,https://i.ibb.co/gSLN7Cw/39.jpg
17,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 17,9,2,0,130,https://i.ibb.co/cYGBTZg/38.jpg
18,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 18,9,2,0,130,https://i.ibb.co/7YHWyQ4/37.jpg
19,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 19,9,2,0,130,https://i.ibb.co/rvYZ0JK/36.jpg
2,Nike,60,These sneakers sit on a pixelated midsole and feature an encapsulated AIr unit for maximum cushioning,7,Nike Air Force 1,9,2,2,125,https://i.ibb.co/GndKwfd/2.jpg
20,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 1A,9,2,0,130,https://i.ibb.co/1L3Czg7/35.jpg
21,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 1B,9,2,0,130,https://i.ibb.co/Ky1L2NV/34.jpg
22,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 1C,9,2,0,130,https://i.ibb.co/R2Z6Vcd/33.jpg
23,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 1D,9,2,0,130,https://i.ibb.co/y61Sc16/32.jpg
24,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 1E,9,2,0,130,https://i.ibb.co/4J9S1qp/31.jpg
25,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Dummy Item 1F,9,2,0,130,https://i.ibb.co/gVsHj5N/30.jpg
26,Nike,70,The radiance lives in in the Nike Air Force 1'07.,7,Test Product,9,2,0,130,https://i.ibb.co/ZVNr1CB/29.jpg
